Unnamed: 0,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context,sentiment
176214,Wir haben eine andere Auffassung von Kontrolle als Sie! Das ist richtig!,CDU/CSU,Leo Dautzenberg,DIE LINKE,Dr. Barbara Höll,2007-03-23,80453," nicht praktikabel.  (Leo Dautzenberg [CDU/CSU]: Die Abstimmung  mit den Ländern ist doch jetzt geklärt!) Ein Problem ist schon, dass der Anteilseigner von sich aus seine Dividenden angeben muss. Wenn er das nicht tut, dann tut er das nicht. Wer das alles kontrollieren soll, ist völlig ungeklärt.  (",0
16563,Jetzt nennen Sie die  einmal!,SPD,Horst Sielaff,CDU/CSU,Siegfried Hornung,1992-12-09,9755,"häden des vergangenen Jahres  bzw. des Jahres 1990 den Zustand des Waldes verschlechtert und auch emissionsbedingte Schäden  stärker zutage treten lassen.  Konsequenzen aus dieser Tatsache sind ein ganzes  Bündel von kurz- und langfristigen Maßnahmen, die  sowohl im Bereich der Ursachenbekämpfung  (",1
162281,Weiter so!,FDP,Dr. Heinrich L. Kolb,CDU/CSU,Peter Weiß,2006-03-09,74247,"iträge der Geschichte zahlen müssen und dafür relativ wenig herausbekommen. (Dirk Niebel [FDP]: Stimmt doch, oder?) Solche Reden kann man halten. Der Punkt ist nur: Damit wird kein einziges rentenpolitisches Problem gelöst. (Dirk Niebel [FDP]: Aber es ist wahr, oder?) Unser Kurs ist und muss sein, (",2
439959,Wieso?,CDU/CSU,Moritz Oppelt,GRÜNE,Lamya Kaddor,2023-09-29,196433,"darauf, uns im öffentlichen Raum sicher fühlen zu dürfen. Dieses Recht wird auch durch Organisierte Kriminalität infrage gestellt. Darauf braucht es eindeutige Antworten. (Beifall bei Abgeordneten des GRÜNE) Ihr Antrag hat gute Ansatzpunkte. Allerdings macht er es sich an vielen Stellen zu leicht. (",0
73125,Das kann ja wohl nicht sein!,CDU/CSU,Erwin Marschewski,GRÜNE,Marieluise Beck,1999-11-04,45076," (Zuruf von der CDU/CSU: Das ist vom Gesetz auch gewollt!) Aus dem Fehlen einer sachlichen Rechtfertigung für diese Sonderbehandlung dürfte sich eine verfassungsrechtliche Diskriminierung ergeben. Es sei denn, dieses Modell sollte Vorreiter für eine entsprechende Kontrolle auch von Inländern sein. (",1
185946,Vollkommen richtig!,SPD,Gabriele Groneberg,CDU/CSU,Sibylle Pfeiffer,2008-01-17,85161,"Unterausschuss zur Gesundheit in Entwicklungsländern gekämpft haben.  (Dr. Karl Addicks [FDP]: Ich habe es ja gesagt!) Aber um der Wahrheit die Ehre zu geben: Mir erschließt sich überhaupt nicht, warum du das jetzt in diesem konkreten Zusammenhang vorbringst.  (Beifall bei der CDU/CSU und der SPD – ",2
438342,Schon mal was von Demokratie gehört?,GRÜNE,Henrike Michaelsen,AfD,Dr. Dirk Spaniel,2023-09-21,195830,"kraummangel besteht, den Verkehr beschränken. Das muss man sich mal vorstellen, was Sie als FDP hier abziehen oder sich in die Feder diktieren lassen. Das geht doch alles gar nicht; das wissen Sie auch. Was hier passiert: Irgendwelche Bürgermeister – das sehen wir auch gerade in Hannover – (Swantje ",1
299147,"Wollen Sie die erschießen, oder was? Oder erschießen lassen?",DIE LINKE,Sevim Dağdelen,CDU/CSU,Dr. Hans-Peter Uhl,2015-10-14,134347,"ten zehn Jahre nichts wissen!) Die griechische Insel Kos liegt in Sichtweite der türkischen Küste. 1 bis 2 Millionen Menschen warten an der türkischen Mittelmeerküste darauf, auf die griechischen Inseln überzusetzen, um von dort aus über Mazedonien im Wesentlichen nach Deutschland weiterzuwandern. (",1
411180,Dann wäre es nicht Gesetz geworden! Ist ja nicht logisch!,CDU/CSU,Jens Spahn,SPD,Michael Müller,2022-11-10,187324,"brauchen an dieser Stelle von der Union keinen Nachhilfeunterricht. Das Lieferkettengesetz, das genau das Thema der Menschenrechte in den Blick nimmt, ist gegen die Blockade der Union durchgesetzt worden. (Beifall bei der SPD und dem GRÜNE – Dr. Johann David Wadephul [CDU/CSU]: Stimmt doch nicht! – ",0
157891,Das finden Sie doch auch  falsch!,FDP,Dirk Niebel,GRÜNE,Dr. Thea Dückert,2005-06-17,72474,"r dazu führt, dass diese Frühverrentungspraxis zum Beispiel durch Verkürzung der Bezugsdauer des Arbeitslosengeldes unattraktiver wird.  (Dirk Niebel [FDP]: Warum kehren Sie dann  jetzt um?) Die Übergangsfrist, bis die Regelungen dieses Gesetzes in Kraft treten, wird nun um zwei Jahre verlängert.  (",0
364217,Die Blechtrommel!,CDU/CSU,Michael Grosse-Brömer,CDU/CSU,Dr. Georg Nüßlein,2020-01-17,164051,"Herr Kollege! – Zuruf von der AfD: Sachlich geht es auch!) Man kann natürlich bei der Gelegenheit die gleiche Melodie spielen, die wir hier übrigens auch spielen, was schon mal gar nicht schlecht ist. Blöd ist, wenn man zeitversetzt spielt, also ein bisschen hinterher. Das kommt nicht ganz so gut. (",0
220443,Wir hatten einen besseren!,GRÜNE,Brigitte Pothmer,DIE LINKE,Sabine Zimmermann,2010-07-08,100321,"Kramme hat auch schon einige Hinweise dazu gegeben. Zweitens. Die Regierung will die Regelung zur freiwilligen Arbeitslosenversicherung für Selbstständige verlängern. Dazu muss man natürlich sagen, dass die Linken und die Grünen schon im März einen Gesetzentwurf bzw. Antrag dazu eingebracht haben. (",1
138797,So ist es!,SPD,<unknown>,SPD,Karin Evers-Meyer,2004-04-29,66353,"htung der Sicherheitsbehörden auf die neue Bedrohungslage. Die Bundeswehr wird da, wo es notwendig und sinnvoll ist, ihren Beitrag auch für die Sicherheit im Innern leisten. Die Transformation der Bundeswehr zu einer international einsetzbaren Eingreiftruppe steht diesem Ziel gewiss nicht entgegen. ",2
13938,Wir kennen ihn!,FDP,Jürgen Koppelin,SPD,Horst Kubatschka,1992-10-07,8068,"Frau Kollegin, woher  nehmen Sie die Meinung, daß der Herr Kollege  Dreßler das anders bewertet hätte, wenn die Anzeige  in Gewerkschaftszeitungen erschienen wäre?  (",0
276696,So sind wir!,CDU/CSU,Dr. Günter Krings,CDU/CSU,Peter Beyer,2013-11-18,123468,"Frau Präsidentin! Meine sehr geehrten Damen und Herren! Liebe Kolleginnen und Kollegen! Lassen Sie mich vorab meine Freude zum Ausdruck bringen, dass auch ich als Außenpolitiker in dieser sehr innenpolitisch ausgerichteten Debatte zu Wort kommen darf.  (",0
394211,Sie haben es nicht verstanden!,AfD,<unknown>,FDP,Sandra Bubendorfer-Licht,2022-03-18,181251,"n Mahnung und Warnung sein. (Beifall bei der FDP und dem GRÜNE sowie bei Abgeordneten der SPD) Werte AfD, wenn Sie Haltung hätten, würde es Ihnen um die fachliche Aufarbeitung der Katastrophe sowie um die notwendigen Maßnahmen zur besseren Aufklärung und zur Stärkung des Katastrophenschutzes gehen. ",1
344434,Weil sie gegen das Gesetz verstoßen! Verstoß gegen das Gesetz!,AfD,Armin-Paulus Hampel,GRÜNE,Filiz Polat,2019-02-14,155586," sich aus gutem Grund gegen eine Abschiebung – zum Beispiel nach Afghanistan – engagieren, (Armin-Paulus Hampel [AfD]: Alles ungesetzlich!) drohen Sie jetzt – Frau Kollegin Jelpke hat es gesagt – mit einer Gefängnishaft von bis zu drei Jahren. Das kann nicht Ihr Ernst sein, meine Damen und Herren. (",1
126285,Manche Städte  sind auch zehnmal so groß wie andere!,CDU/CSU,Günter Nooke,GRÜNE,Ursula Sowa,2003-07-03,62434,"suchen. Die Medien lieben es, immer wieder Schreckensnachrichten im Kulturbereich zu verbreiten. In letzter Zeit ist es Usus, über die drohende Schließung von Häusern zu berichten, angefangen von Stadtteilbibliotheken bis hin zur Oper. In manchen Städten sind sogar drei Opern gleichzeitig bedroht. (",0
280611,Kommen Sie einmal nach Koblenz! Ich zeige Ihnen einen!,DIE LINKE,Alexander Ulrich,CDU/CSU,Dr. Michael Fuchs,2014-04-10,125561,"haben die niedrigste Jugendarbeitslosigkeit aller europäischen Länder.  (Alexander Ulrich [DIE LINKE]: Niedriglohn! Prekäre Beschäftigung!)  Daran kann man noch arbeiten, man kann es immer noch verbessern. In meinem Wahlkreis gibt es de facto keinen einzigen Jugendlichen mehr, der ausbildbar ist.  (",1
379540,"Es wäre schön, wenn der Wirtschaftsminister zuhören würde!",FDP,Otto Fricke,CDU/CSU,Hans Michelbach,2020-12-08,172175,chrank. Wir brauchen erfolgreiche chirurgische Eingriffe für die Sicherung von Unternehmen und der Arbeitsplätze. Das ist mit der Ordnungspolitik der sozialen Marktwirtschaft am besten zu erreichen. (Carsten Schneider [Erfurt] [SPD]: Deswegen nimmst du mit der Verlustverrechnung die Schrotflinte! – ,1
296980,So ein Quatsch!,CDU/CSU,Dr. Thomas Feist,GRÜNE,Özcan Mutlu,2015-07-03,133352,"emile Giousouf [CDU/CSU]: Das sind europäische Mittel! Das können sie auch machen! – Dr. Thomas Feist [CDU/CSU]: Das kann jedes Bundesland machen!)  Ich frage einfach: Warum nicht daraus lernen und es flächendeckend einführen? Nein, der Bund prüft und prüft und prüft und lässt die Länder alleine.  (",1
323811,Unglaublich!,DIE LINKE,Dr. Gesine Lötzsch,DIE LINKE,De Masi,2017-11-21,145839,"ht bei drei auf dem Baum war. Alle Fraktionen im Bundestag – außer der Linken – stimmten dem irischen Programm zu. Meine Fraktion verwies bereits damals auf die niedrige irische Körperschaftsteuer. Irland ermöglichte es Apple, im Jahr 2014 nur 0,005 Prozent Steuern auf seine Gewinne zu entrichten. (",1
106335,Deswegen wird es jetzt auch wieder besser!,CDU/CSU,Karl-Josef Laumann,SPD,Klaus Brandner,2002-02-28,56495,"s dann ganz schnell abgebrochen, weil Sie eine Kurswende vollzogen haben. Sie haben die ausgestreckte Hand der Gewerkschaften ausgeschlagen und Ihre Hand nicht für sinnvolle Veränderungen in der Gesellschaft gereicht. Das ist Ihnen beim Wahlergebnis teuer zu stehen gekommen.  (Beifall bei der SPD – ",0
80959,Sie haben es immer noch nicht kapiert! ,CDU/CSU,<unknown>,SPD,von Larcher,2000-06-07,48153," nicht gefunden haben,  (Hartmut Schauerte [CDU/CSU]: Herr Kollege, Sie sind von der Rolle!) sehen Sie daran, dass Sie nun schon zum zweiten oder dritten Mal, wie ich glaube, verlorene Schlachten schlagen. Die Argumente gegen die Ökosteuer haben wir doch schon x-mal gehört, als wir sie einführten.  ",1
436552,"Ja, das wäre mal was!",GRÜNE,Renate Künast,SPD,Susanne Mittag,2023-09-07,195285," in unserem Bereich massive Auswirkungen. Es wäre wirklich hilfreich, wenn die Kritiker in dieser Debatte mal realisieren würden, dass wir ganz außergewöhnliche Zeiten haben, Artur; das würde auch von Fach- und Sachverstand zeugen. (Beifall bei der SPD und dem GRÜNE sowie bei Abgeordneten der FDP – ",2
108563,Es gab drei Debatten!,SPD,Sabine Kaspereit,CDU/CSU,Günter Nooke,2002-04-18,57155," angeblichen Chefsache Aufbau Ost.  (Dr. Uwe Küster [SPD]: Was ist peinlich? – Zuruf von der SPD: Halten Sie sich mal schön fest, damit Sie bei dieser Aussage nicht umfallen!) Es ist Ihnen aber dank der von uns beantragten Debatten nicht gelungen, dieses Thema totzuschweigen.  (Lachen bei der SPD – ",0
105691,Zu Recht! Aber da sitzen natürlich Ihre Leute drin!,FDP,Dirk Niebel,SPD,Ute Kumpf,2002-02-21,56308," Vermittlung soll eine zentrale Bedeutung bekommen. Wir alle, auch Sie als Opposition, sollten ein Interesse daran haben, dass die Vermittlungsschiene funktioniert. Man sollte das Kind nicht mit dem Bade ausschütten und die Selbstverwaltung sozusagen mit einem Schnellschuss an den Pranger stellen. (",0
300547,"Das ist ein Problem von uns Männern, dass wir öfter nicht verstehen, was Frauen sagen!",CDU/CSU,Volker Kauder,GRÜNE,Özcan Mutlu,2015-11-13,135105,"tlich und klar, und wenn Sie sich das noch einmal durchlesen, werden Sie es auch merken. (Dagmar Freitag [SPD]: Sie haben es leider nicht verstanden! – Gegenruf des Abg. ­Özcan Mutlu [GRÜNE]: Sie haben es verstanden? – Renate Künast [GRÜNE]: Frau Freitag ist die Einzige, die etwas verstehen kann! – ",0
135472,Sehr zuständig!,GRÜNE,Jerzy Montag,CDU/CSU,Thomas Strobl,2004-02-13,65108," sie heute in unserem Gesetzentwurf einbringen, ist eine gravierende Sicherheitslücke. Herr Kollege Montag, ich will einmal Praktiker der Strafverfolgungsbehörden zitieren – denn Sie haben ja das, was Kollege Röttgen hier vorgetragen hat, bestritten –, und zwar den Bund Deutscher Kriminalbeamter,  (",2
358641,Da sind wir einer Meinung!,FDP,Christian Dürr,CDU/CSU,Peter Altmaier,2019-11-13,162038,"er Luftfahrtindustrie demonstrieren können. (Manuel Höferlin [FDP]: Sie weichen nur aus!) Ich bitte um Verständnis, dass wir hier nicht mit staatlichen Hilfsangeboten durch die Gegend wedeln, (Christian Dürr [FDP]: Habe ich nicht verlangt!) die von unserer Wirtschaftsverfassung nicht gedeckt sind. (",2
211298,Pfui!,DIE LINKE,Dr. Ilja Seifert,DIE LINKE,Ingrid Remmers,2010-02-25,97094,"werden. Dass sich Goldman Sachs darüber hinaus mit der Finanzierung von US-Immobilien kräftig verspekuliert hat, ist ebenfalls hinlänglich bekannt. Das hindert die deutschen Regierungsbehörden aber offensichtlich nicht daran, weiterhin öffentliches Wohneigentum an solche Spekulanten zu verkaufen.  (",1
315612,Ist aber nicht geregelt!,GRÜNE,Oliver Krischer,CDU/CSU,Alois Rainer,2016-12-16,142023,"r vorverpackte Lebensmittel herstellt. Das auf die Schiene zu setzen, darin besteht die Schwierigkeit. Aber ich bin völlig bei Ihnen: Wir brauchen eine Nährwertkennzeichnung auf allen Konserven und vorverpackten Produkten. Es muss nur machbar und am Ende auch lesbar sein. (Beifall bei der CDU/CSU – ",0
28925,"Ich habe  meiner Frage einen zweiten Teil angefügt,  Frau Kollegin!",CDU/CSU,Dr. Friedbert Pflüger,FDP,Ursula Seiler-Albring,1994-03-03,17951,"tigen Amtes in Kopie zur Verfügung  stellen.  (Dr. Friedbert Pflüger [CDU/CSU]: Ich bitte  sehr darum, Frau Kollegin! Ich finde nur, daß  das nicht meine Frage beantwortet!)  — Sie haben doch gesagt, Sie wollten den Inhalt dieses  Schreibens kennenlernen. Ich stelle es Ihnen gerne  zur Verfügung.  (",0
376689,Kritisieren Sie jetzt die Direktzahlungen doch?,GRÜNE,Steffi Lemke,CDU/CSU,Julia Klöckner,2020-10-28,170362,"h Ihnen sagen: Sprechen Sie mal mit Sarah Wiener – Abgeordnete der Grünen im Europaparlament. Fast 400 000 Euro bekommt sie. (Gitta Connemann [CDU/CSU]: Ja, genau! Agrarzahlungen!) Ich glaube jetzt nicht, dass sie das bekommt, weil sie so wenig Fläche hat, sondern weil sie relativ viel Fläche hat. (",0
449414,Hallo! Das ist ein eigenes Gesetz! Das ist gar nicht dadrin! Oje!,SPD,Michael Schrodi,AfD,Kay Gottschalk,2023-12-14,199325,"chael Schrodi [SPD]: Das steht doch gar nicht im Gesetz!) „Insolvenz“ ist, glaube ich, für Sie und Herrn Habeck ein Fremdwort; Sie interpretieren es vielleicht anders. Auf Bedenken sind Sie eingegangen, wie beim MoPeG; ich will nicht auf weitere Einzelheiten eingehen. Auch das ist immerhin gut so. (",1
106221,Das sieht man an den Umfragen!,CDU/CSU,<unknown>,SPD,Wolfgang Grotthaus,2002-02-27,56475,"araus dann noch politisches Kapital schlagen. Die Menschen in unserer Republik sind nicht so dumm, dass sie das nicht erkennen. Von daher werden Sie am 22. September die Quittung bekommen. (Beifall bei der SPD und dem GRÜNE – Dirk Niebel [FDP]: Wer die Quittung bekommt, ist noch nicht ganz heraus! –",0
425292,"Sie zeigen, dass die Bürger draufzahlen! Sie haben auch im Ausschuss bereits ausgeführt, was es mehr kosten wird!",AfD,Marc Bernhard,SPD,Dr. Nina Scheer,2023-04-20,191833,"tenzial in Angst ummünzen und tatsächlich dann verängstigt sind. (Marc Bernhard [AfD]: Sie wollen die Verschwendung von Strom sanktionieren!) Deswegen muss man immer wieder hier auch dem Transparenzanspruch so Rechnung tragen, dass diese Falschmeldungen und diese Verhetzungen, diese Angstmacherei, (",1
429641,So ist es!,FDP,Konstantin Kuhle,CDU/CSU,Andrea Lindholz,2023-05-25,193280,"t zu vereinbaren. (Beifall bei der CDU/CSU) Und ein letzter Punkt zum Schluss. Die FDP hatte Anfang März vollmundig Folgendes angekündigt: Künftig darf bei allen Einbürgerungstatbeständen nur noch eingebürgert werden, wer seinen eigenen Lebensunterhalt bestreiten und für seine Familie sorgen kann. (",2
376912,"Ja, und bei uns alle!",AfD,Petr Bystron,CDU/CSU,Alexander Dobrindt,2020-10-29,170477," Angst machen!) Es wird die Frage gestellt: Ist die Politik in Schweden nicht besser als die in Deutschland? Sie ist auf jeden Fall anders; das stimmt. Was passiert in Schweden? Für die Politik, die in Schweden gemacht wird, zahlt vor allem eine Generation den Preis, nämlich die ältere Generation; (",0
174160,Das hätte man den grünen  Bürgermeister in Freiburg fragen sollen!,SPD,<unknown>,SPD,Florian Pronold,2007-01-18,79211,"Das ist eine Frage, die wir schon lange beantwortet haben. Aber schon die Fragestellung ist falsch.  ",0
406903,Wo sind Ihre Vorschläge?,SPD,Tim Klüssendorf,CDU/CSU,Dr. Mathias Middelberg,2022-09-30,186096,"dass Sie 200 Milliarden Euro Schulden machen. (Dr. Lukas Köhler [FDP]: Die sehen nicht panisch aus!) Diese Aktion hätte komplett andersherum laufen müssen. (Beifall bei der CDU/CSU) Sie hätten jetzt ganz konkret sagen müssen, was Sie mit der Gaspreisbremse, was Sie mit der Strompreisbremse machen. (",0
282995,Landwirtschaftsminister ist er!,GRÜNE,Sven-Christian Kindler,CDU/CSU,Thomas Mahlberg,2014-06-24,126593,"herausstehlen und die Finanzierung den zu kontrollierenden Unternehmen aufbürden.  (Beifall bei der CDU/CSU – Sven-Christian Kindler [GRÜNE]: Das ist doch marktwirtschaftlich!)  – Sehr geehrter Herr Kollege Kindler, Sie haben eben sehr lobend über Ihren Umweltminister in Niedersachsen gesprochen.  (",0
363417,"Ihre Wohnungspolitik kann man auch in die Tonne hauen! Noch zehn Jahre Linke, und die Häuser sind in der Tonne!",FDP,Dr. Marie-Agnes Strack-Zimmermann,DIE LINKE,Caren Lay,2019-12-20,163592,"nungen privatisiert. (Kai Whittaker [CDU/CSU]: Sie haben das getan! Sie haben es in Berlin getan! Sie haben doch Wohnungen verkauft, Frau Lay! – Weiterer Zuruf von der CDU/CSU: Das war doch in Berlin mit dem Verscherbeln, oder?) Die meisten Wohnungen wurden im Bund privatisiert – von Schwarz-Gelb. (",2
253500,Seehofer für  ganz Deutschland!,CDU/CSU,Max Straubinger,SPD,Caren Marks,2012-04-25,113305,"Leim gegangen. Der CSU-Vorsitzende Horst Seehofer will das Betreuungsgeld als Wahlkampfgeschenk für Bayern umsetzen. Es geht ihm um nichts anderes. (Stefan Müller [Erlangen] [CDU/CSU]:  Quatsch!) Ich denke, das ist auch mehrfach in öffentlichen Äußerungen von Herrn Seehofer sehr deutlich geworden. (",2
317430,"Hören Sie zu, Herr Harbarth!",DIE LINKE,Frank Tempel,GRÜNE,Irene Mihalic,2017-02-17,142887,"Erfahrungen gemacht hätten. Der Tatbestand „Widerstand gegen Vollstreckungsbeamte“ ist erst im Jahre 2011 verschärft worden. Die Zahl der Fälle von Widerständen und Körperverletzungsdelikten zulasten von Polizeibeamten ist dadurch aber nicht etwa geringer geworden, sondern sie ist sogar gestiegen. (",1
66360,Das ist typisch: Kontrolle!,CDU/CSU,Wolfgang Meckelburg,GRÜNE,Dr. Thea Dückert,1999-03-04,42037,"re Frucht. Wir deckeln diese Ent- Dr. Peter Ramsauer wicklung. Ich denke, das wird dazu führen, daß dieser Aufwuchs gestoppt wird. (Beifall beim GRÜNE und bei der SPD – Birgit Schnieber-Jastram [CDU/CSU]: Das ist schon allerhand!) Zum anderen führen wir Kontrollmöglichkeiten in diesem Bereich ein. (",1
173710,Ich finde es gut!,GRÜNE,Renate Künast,CDU/CSU,Julia Klöckner,2006-12-15,78993,"eine Szene im Restaurant vor, wenn das panierte Schnitzel gebracht wird. Vielleicht haben Sie auch noch Vorschläge, wie man den Teller optisch gestalten könnte, damit man erkennt, welches Ei, das in der Panade ist, aus Freilandhaltung, welches aus Bodenhaltung und welches aus Käfighaltung stammt.  (",2
74400,Und der Deutsche Bundestag!,SPD,Georg Wagner,SPD,Dr. Peter Struck,1999-11-24,45518,"nen Menschen in der Ehre zu treffen, das ist die Absicht! – Zuruf von der CDU/CSU: Gemeinheit! – Weitere Zurufe von der CDU/ CSU) – lassen Sie mich doch ausreden –, weil Sie meinen, daß dies nicht der geeignete Ort sei. In der Tat ist der geeignete Ort der Untersuchungsausschuß, Herr Kollege. (Hans ",0
255381,Deshalb haben Sie die Hoteliers entlastet! Damit der Schuldenberg nicht wächst!,SPD,Caren Marks,FDP,Miriam Gruß,2012-05-11,114024,gkeit verloren. Sie sollten kein einziges Mal mehr über den Abbau der Neuverschuldung sprechen. (Beifall bei der FDP und der CDU/CSU) Jetzt kommt mein Lieblingssatz: Auf Schuldenbergen können Kinder nicht spielen und erst recht nicht lernen. (Beifall bei der FDP sowie bei Abgeordneten der CDU/CSU – ,0
397443,"Ab dem 21. Kilometer, Herr Schrodi! Das ist sozial ausgewogen! Super!",AfD,Kay Gottschalk,SPD,Michael Schrodi,2022-05-12,182750," bringen wir jetzt eine Entlastung von 16 Milliarden Euro auf den Weg. Das sind massive, umfassende, in dieser Situation aber notwendige und angemessene Maßnahmen. Dazu gehören neben der Erhöhung des Arbeitnehmerpauschbetrags auf 1 200 Euro und der Erhöhung der Entfernungspauschale für Fernpendler (",2
