,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context,sentiment
10,Das bringt doch die Leute raus und nicht rein! Das ist doch das Problem! Die Firmen stellen doch keine Älteren ein!,FDP,Dirk Niebel,SPD,Adolf Ostertag,2001-02-15,51739,"täten in der Arbeitszeitpolitik, insbesondere Arbeitszeitmodelle. Gerade im Bündnis für Arbeit sind einige wichtige Weichenstellungen vorgenommen worden. Dazu gehört zum Beispiel das Thema Altersteilzeit, weil, meine Damen und Herren von der Union, das Altersteilzeitgesetz an diesem Punkt ansetzt. (",1
11,Nicht nur er!,FDP,Carl-Ludwig Thiele,SPD,Jörg Tauss,2008-03-06,86271,Herr Pinkwart freut sich schon.  (,0
12,Das ist doch  falsch!,CDU/CSU,Ingbert Liebing,SPD,Garrelt Duin,2011-06-09,106628,"d Hamburg  sind international!) – Das sind internationale Maritime Konferenzen, Herr Kollege. – Es hat regelmäßig Erwartungen gegeben, die nicht immer zu 100 Prozent erfüllt werden konnten. Das ist völlig klar. Diesmal aber ist keine einzige Erwartung erfüllt worden. Überhaupt nichts ist passiert. (",1
13,Die haben Sie doch!,SPD,Klaus Brandner,CDU/CSU,Clemens Binninger,2004-09-24,67980,"ss man die gleichen Regelungen wie bei Bundesbeamten – ich nenne zum Beispiel die bundesweite Versetzung – anwenden soll. Man kann dafür sein, sollte dann aber auch die Rechte beachten. Wir hätten dann gefragt, warum es nicht analog zu den Bundesbeamten eine Öffnungsklausel zur Sonderzahlung gibt. (",0
14,Wir auch!,AfD,Stephan Brandner,fraktionslos,Alexander Ulrich,2024-02-01,200317,"r Bundesregierung ist. (Beifall bei fraktionslosen Abgeordneten) Man wünscht diesem Land wirklich, dass dieser Haushalt der letzte Haushalt ist, den diese Bundesregierung dem Parlament vorlegt. (Stephan Brandner [AfD]: Da haben Sie recht!) Wir bräuchten dringend Neuwahlen. Wir als BSW sind bereit! (",0
15,"Und die Leute bei der Lufthansa entlassen, oder wie?",CDU/CSU,Michael Grosse-Brömer,fraktionslos,Marco Bülow,2020-10-02,169801,"ch auch keinen Halt. Entsprechende Maßnahmen wurden zu Recht angemahnt, ja, aber man muss doch auch sagen, wo das Geld herkommt. Der erste Posten wurde verbrannt. Es rächt sich schon jetzt, die 9 Milliarden Euro bei der Lufthansa verbrannt zu haben. Dieses Geld hätte man sonst jetzt zur Verfügung. (",1
16,Das bekommt er erst mal 18 Monate!,SPD,Peter Dreßen,CDU/CSU,Dr. Hans-Peter Friedrich,2002-02-21,56321,"ist ja nicht zu fassen!) Es ist nicht in Ordnung – lassen Sie mich das sagen –, wenn Sie heute einem 53-Jährigen, der seinen Arbeitsplatz verloren hat, weil sein Unternehmen Insolvenz anmelden musste, sagen: Jetzt bekommst du noch 12 Monate Arbeitslosengeld und dann musst du sehen, wo du bleibst.  (",0
17,Ah ja!,DIE LINKE,Heike Hänsel,CDU/CSU,Peter Beyer,2017-06-29,145448,"te des Parlaments höre, wie „Alle Soldaten nach Hause schicken!“ oder „Alle Waffen vernichten!“, sind natürlich bloße Plattitüden, die uns eine einfache Welt suggerieren sollen. Denkt man sie indes weiter, so bedeuten sie auch ein Wegsehen und – was viel schlimmer ist – unterlassene Hilfeleistung. (",0
18,Stimmt nicht!,CDU/CSU,Albert Rupprecht,DIE LINKE,Nicole Gohlke,2015-05-07,132025," sehr wohl bewusst –, die darin besteht, von der Exklusivität der Universität zu träumen und die Abgeschiedenheit des Elfenbeinturms zu bevorzugen. Darum geht es uns natürlich nicht.  (Beifall bei der LINKEN)  Aber keine Haltung ist es, den öffentlichen Diskurs und die Kritik einfach zu negieren.  (",1
19,Was? Was für ein bodenloser Unsinn!,AfD,Uwe Schulz,DIE LINKE,Doris Achelwilm,2019-02-21,155944," eben am einfachsten ist, wenn alles bleibt, wie es ist, oder wieder wird, wie es einmal war. Und genau deshalb legt die AfD heute ein lupenreines „Anti-Frauen-Gesetz“ vor. Was für ein Trauerspiel und wie leicht zu durchschauen! (Beifall bei der LINKEN und der SPD sowie bei Abgeordneten des GRÜNE – ",1
20,Hört! Hört!,CDU/CSU,Dietrich Austermann,CDU/CSU,Jochen Henke,2000-12-01,50557,es in der Summe sage und schreibe 120 Milliarden DM mehr. (Siegfried Hornung [CDU/CSU]: Hört! Hört!) Der Staat kassiert weiter und weiter. Am Ende Ihres Finanzplanungszeitraumes werden die jährlichen Abgaben- und Steuerbelastungen in diesem Land für die Bürger bei rund 1 Billion DM angelangt sein. (,0
21,Falsches Mandat!,FDP,Dr. Marie-Agnes Strack-Zimmermann,DIE LINKE,Heike Hänsel,2021-04-23,176725,"ch die französische Armee gesagt hat. (Zurufe von der AfD) Warum wird es nicht einmal erwähnt? Die Bundesregierung schweigt in beschämender Weise zu diesem Massaker. Und da frage ich mich, wenn es nicht einmal erwähnt wird: Gilt eigentlich das Menschenleben von Maliern weniger als das von anderen? (",1
22,Und die Schenkungen?  Was ist mit Schenkungen?,SPD,Martin Gerster,CDU/CSU,Klaus-Peter Flosbach,2012-06-29,115094," die Eidgenössische Steuerverwaltung auch die Erbfälle in der Schweiz  erfasst werden. Bis zu 50 Prozent des Vermögens können eingezogen werden, wenn aufgrund einer Anfrage  ein Erbfall entdeckt wird. Das ist der riesige Unterschied  gegenüber früher. (Beifall der Abg. Sibylle Pfeiffer [CDU/CSU] –  ",0
23,So ein Heuchler!,SPD,Waltraud Lehn,CDU/CSU,Andreas Storm,2004-09-07,67564,"Beifall bei der CDU/CSU – Waltraud Lehn  [SPD]: So ein Quatsch!) gestern hü!, heute hott! und morgen gilt schon wieder eine neue Parole. Bei einem solchen Zickzackkurs müssen Sie sich nicht wundern, dass die Unterstützung der Menschen für dringend notwendige Reformen von Tag zu Tag geringer wird.  (",1
24,Richtig!,DIE LINKE,Jan Korte,DIE LINKE,Halina Wawzyniak,2010-06-16,99622,"Es ist gut, dass der rot-rote Senat an seiner Deeskalationsstrategie festhält. Die Deeskalationsstrategie beim Myfest in Kreuzberg trägt langsam Früchte, und wir alle wären gut beraten, die damit erreichten Erfolge nicht kleinzureden, sondern für eine Fortsetzung derartiger Strategien einzutreten. (",2
25,Genau!,GRÜNE,Beate Müller-Gemmeke,FDP,Carl-Julius Cronenberg,2023-11-30,198876,"rdentlich behandeln – unabhängig davon, ob fest oder saisonal, ob Vollzeit, Teilzeit oder Minijob – und dass da, wo das mal nicht der Fall ist, der Staat die Mittel hat, einzugreifen und zu sanktionieren, zum Schutz der Beschäftigten und der ehrlichen Betriebe, die sich an Recht und Gesetz halten, (",2
26,Warum lasst ihr  das auslaufen?,FDP,Dr. Heinrich L. Kolb,SPD,Anton Schaaf,2006-03-09,74256," in dieser Debatte gerne daran, dass wir von Rot-Grün es waren, die gesagt haben, man müsse privat vorsorgen. Wir haben entsprechende Anreize geliefert.  Sie haben die Betriebsrente erwähnt. Zu der Betriebsrente ist zu sagen, dass wir die Sozialabgabenfreiheit bis zum Jahre 2008 beschlossen haben. (",0
27,Aha!,CDU/CSU,Karl-Georg Wellmann,CDU/CSU,Arnold Vaatz,2011-09-28,108474,"die Menschen selber. Sie sagen: Die Autobahn braucht keiner. Die Berliner sagen zu 52 Prozent: Wir brauchen sie. (Stefan Liebich [DIE LINKE]: Und was ist mit  den 48?) In Ostberlin, wo die Betroffenen leben – ihre Fahrzeit wird deutlich verkürzt –, sagen 63 Prozent, dass sie die Autobahn brauchen. (",0
28,"Sie strahlen ja Agilität aus, Herr Kollege! Sie sind ein Sinnbild von Agilität!",CDU/CSU,Kai Whittaker,AfD,Martin Hebner,2020-02-13,164806,"en ab auf agile Methoden. Ich nehme an, es wird wahrscheinlich hier in diesem Saal kaum jemandem bekannt sein, was darunter zu verstehen ist. (Lachen beim GRÜNE – Markus Kurth [GRÜNE]: Vielleicht bei Ihnen! Sie müssen nicht von sich auf andere schließen!) Ich bin in agilen Projekten tätig gewesen, (",1
29,Die Rede hat so stark angefangen!,FDP,Dirk Niebel,SPD,Wolfgang Clement,2003-06-26,62141,"selber nicht!) Wir haben die Möglichkeiten der Leih- und Zeitarbeit, für die es jetzt Gott sei Dank Tarifverträge gibt, die auch angewandt werden, erweitert. Wir haben eine Reihe von zusätzlichen Beschäftigungsmöglichkeiten geschaffen.  (Ernst Hinsken [CDU/CSU]: Was reden Sie sich eigentlich ein? – ",1
30,Den allen müssen wir helfen!,AfD,Enrico Komning,GRÜNE,Deborah Düring,2023-01-18,189124,"hört!) Das heißt, es wird sich neu verschulden müssen, um die alten Schulden zu tilgen, womit die Schuldenlast noch viel größer wird. (Enrico Komning [AfD]: Und was geht uns das an?) Pakistan ist leider nicht das einzige Land, in dem das so ist, sondern es geht noch ganz vielen anderen Ländern so. (",0
31,Wer hat denn informiert?,GRÜNE,Wolfgang Wieland,CDU/CSU,Clemens Binninger,2008-05-09,87589,"weise ist Ihnen die neueste Position aus der Bankenwelt nicht bekannt. Wir haben am Dienstag oder Mittwoch dieser Woche eine Informationsveranstaltung besucht, (Hans-Christian Ströbele [GRÜNE]: Was heißt „wir“?) bei der Vertreter aus der Wirtschaft, Wissenschaft und auch von Banken anwesend waren. (",0
32,Was soll das? Das ist eine Unterstellung!,CDU/CSU,<unknown>,SPD,Dr. Lars Castellucci,2021-12-16,179603," Erstens ist das nicht so, und zweitens offenbart man mit einem solchen Gerede, dass man gerade den Kern von Religionsfreiheit überhaupt nicht verstanden hat; denn man kann unter der Fahne der Religionsfreiheit nicht irgendjemandem zum Vorwurf machen, dass er einem bestimmten Glauben nicht anhängt. ",1
33,Dann stimmen Sie uns  doch zu! Bitte!,FDP,Dirk Niebel,GRÜNE,Dr. Thea Dückert,2000-03-16,47167," Herr Niebel, Sie haben hier schon zwei oder drei Mal  geredet. Akzeptieren Sie bitte, dass auch andere von diesem Pult aus Ausführungen machen.  (Dirk Niebel [FDP]: Sie stimmen ja nur zu!)  Wir reden hier über etwas, was Sie eingeführt haben. Es  war ungerecht und arbeitsmarktpolitisch unsinnig.  (",0
34,Das müssen gerade Sie sagen!,SPD,Dieter Grasedieck,CDU/CSU,Dr. Klaus Rose,2002-01-24,55921,"Frau Präsidentin! Meine lieben Kolleginnen und Kollegen! Im Sportausschuss reden wir immer sehr gerne von Fairness und fraktionsübergreifender Harmonie. Wenn ich mir die heutige Debatte anhöre, stelle ich fest, dass davon wenig zu spüren ist. (",0
35,Wer  zahlt sie denn heute?,FDP,Ina Albowitz,GRÜNE,Werner Schulz,1994-02-03,17325,"Die Frage ist natürlich, wer diese Vermittlung  bezahlen soll.  (Zuruf des Abg. Hans-Joachim Fuchtel  [CDU/CSU] — ",0
36,"Los, CDU/CSU, Beifall! Das ist euer Partner!",FDP,Dr. Guido Westerwelle,SPD,Dr. Peter Struck,2006-09-06,76576,"d. In ihrer Breite greifen jetzt die Arbeitsmarktreformen, die von der Regierung unter Gerhard Schröder eingeleitet worden sind. Insofern profitiert die große Koalition von diesen mutigen Reformschritten ihrer Vorgängerregierung, an der wir auch beteiligt waren, wie man weiß. (Beifall bei der SPD – ",0
37,"Sagten Sie gerade  „richtig“? Na also, es geht doch!",SPD,Andrea Nahles,FDP,Dirk Niebel,2008-12-05,90969,"rten Damen und Herren! Die Eloquenz des Vortrags des Staatssekretärs zeigt ziemlich deutlich, wie begeistert man von den vorliegenden Gesetzentwürfen ist.  (Fritz Kuhn [GRÜNE]: Jetzt warten wir erst einmal auf Ihre Eloquenz!) Zumindest was die Arbeitsmarktinstrumente betrifft, ist es auch richtig, (",0
38,So ist es!,FDP,Peter Heidt,CDU/CSU,Monika Grütters,2023-01-27,189755," der FDP sowie der Abg. Anke Domscheit-Berg [DIE LINKE]) Die AfD inszeniert sich als Advokatin verfolgter Christinnen und Christen und als Verteidigerin christlicher Werte. Wer sich aber gegen Christenverfolgung einsetzen will, muss sich konsequenterweise für weltweite Religionsfreiheit einsetzen, (",2
39,Und an uns! Ich würde  schon gern erwidern!,FDP,Dirk Niebel,GRÜNE,Brigitte Pothmer,2006-02-17,74081,Nein. Das war ja weniger an mich gerichtet als vielmehr an die CDU/CSU-Fraktion. (,0
40,Berücksichtigen Sie die  nachfolgenden Generationen!,SPD,<unknown>,CDU/CSU,Dr. Peter Paziorek,1995-04-26,23341,"ergiemix, der  aus fossilen Energieträgern, erneuerbaren Energien  und der Kernenergie besteht, auflösen möchte, zerstört das Fundament, auf dem die heimische Steinkohle noch über das Jahr 2000 hinaus sinnvoll unterstützt werden kann. Berücksichtigen Sie in Nordrhein-Westfalen diese Notwendigkeit.  ",1
41,Zu Recht!,CDU/CSU,Dr. Jan-Marco Luczak,GRÜNE,Renate Künast,2015-03-05,130882,"schens und des Hin- und Herschiebens von Sanierungs- und Instandsetzungskosten –,  (Dr. Jan-Marco Luczak [CDU/CSU]: Ja, ja! Immer die bösen Vermieter! Meine Güte!)  sage ich Ihnen: Diese Regelung wird einige Mieter hart treffen.  Erstvermietete Neubauwohnungen haben Sie grundsätzlich ausgenommen,  (",2
42,Aber zu welchem Preis?,AfD,Dr. Malte Kaufmann,FDP,Reinhard Houben,2023-03-30,191399,"ir haben die Gasversorgung sichergestellt. Wir haben neue LNG-Terminals installiert und dadurch weiterhin klar dafür gesorgt, dass die deutsche Industrie und die deutsche Wirtschaft für den Wohlstand in Deutschland arbeiten können. (Beifall bei der FDP sowie bei Abgeordneten der SPD und des GRÜNE – ",0
43,Dann gehen Sie  doch mal nach Bayern!,SPD,Dr. Matthias Miersch,CDU/CSU,Dr. Georg Nüßlein,2010-09-14,100612,"ir unabhängig von der Frage, ob man für oder gegen Kernenergie ist, national lösen müssen.  Ich unterstreiche aber auch, dass ich mir im Unterschied zu etlichen Kolleginnen und Kollegen hier nicht anmaße – ich habe das vorhin gesagt –, ein Expertenurteil über die Frage der Geeignetheit abzugeben.  (",0
44,Die Aussage war damals falsch und ist jetzt falsch!,CDU/CSU,Mechthilde Wittmann,SPD,Helge Lindh,2022-12-02,188440," geschlossenen Block gegen diese Haltung. Ich habe schon in meiner letzten Rede in der ersten Lesung darauf hingewiesen, dass die größte Landesregierung, CDU-geführt, uns ausdrücklich auffordert, dieses im Koalitionsvertrag zu machen, und dem durch das Erlassen einer Vorgriffsregelung vorarbeitet. (",1
45,"Guter Hausmann, der Rief!",CDU/CSU,Dr. Gerd Müller,CDU/CSU,Josef Rief,2012-01-18,111072," Das Bundesinstitut für Risikobewertung bestätigt, dass die Bedeutung von Fleisch in diesem Zusammenhang sehr gering ist. Jeder weiß auch, dass Hähnchenfleisch immer durchgegart werden muss – Frau Mortler hat es vorhin gesagt – und die Arbeitsgeräte nach der Zubereitung gründlich zu reinigen sind. (",0
46,Der Haushalt wächst immens im nächsten Jahr!,GRÜNE,Anja Hajduk,CDU/CSU,Norbert Brackmann,2014-04-11,125662,"NE]: Guter Plan für die Zukunft!)  Aber gerade mit diesem Haushaltsentwurf weisen wir Bescheidenheit aus. Wie Sie leicht den Zahlen entnehmen können, liegt das Haushaltsvolumen zum ersten Mal unter 300 Milliarden Euro, was, glaube ich, angesichts steigender Preise ein hervorragendes Ergebnis ist.  (",2
47,So hört sich auch die Rede an!,DIE LINKE,Ates Gürpinar,CDU/CSU,Dr. Reinhard Brandl,2023-10-13,196903,"inen neuen Praktikanten. Meistens sind es Studenten, die für mich Grußworte aufschreiben, Briefe entwerfen und Fachthemen recherchieren. Vor einem Jahr war deren wichtigstes Arbeitswerkzeug noch Google. Heute setzen die sich hin und geben meinen Arbeitsauftrag erst mal eins zu eins in ChatGPT ein. (",0
48,Sehr richtig! Sehr gelinde ausgedrückt!,CDU/CSU,Dr. Peter Ramsauer,CDU/CSU,Albert Deß,1999-12-02,45888,"SU]: Genau das ist es! – Karsten Schönfeld [SPD]: Das wird auch nicht wahrer, je öfter das wiederholt wird!) Das ist genau das, was sich der Bundeskanzler in Vilshofen und in Cottbus erlaubt hat. Das waren doch Aussagen, die an Arroganz gegenüber unserem Berufsstand nicht mehr zu überbieten waren. (",2
49,Mein Satz!,FDP,Hans-Michael Goldmann,CDU/CSU,Dietmar Kansy,2001-05-10,52833,", ich steige jetzt einmal etwas anders ein, und zwar mit zwei guten und zwei schlechten Nachrichten. Zuerst eine gute, wie es sich gehört: Der Wohngeld- und Mietenbericht, um den es letztendlich in dieser Debatte geht, ist ein eindrucksvolles Dokument einer äußerst erfolgreichen Wohnungsbaupolitik (",2
50,"Was heißt „verkappt“? Aber kein Mensch glaubt ernsthaft, dass Ihnen das gelingen wird. Wir werden im nächsten Jahr einen neuen Rekordbeitrag bei den gesetzlichen Krankenkassen erleben. Die 40 Krankenkassen, die bereits jetzt eine Erhöhung der Beiträge beantragt haben, sind die Vorläufer. Wir werden erleben, dass Anfang Dezember, also noch vor dem In",FDP,Dr. Dieter Thomae,CDU/CSU,Andreas Storm,2002-11-07,59063,". (Beifall bei der CDU/CSU und der FDP) Nun versucht Rot-Grün in heilloser Panik einen massiven Beitragsanstieg durch ein Vorschaltgesetz, das ein verkapptes Notstandsgesetz ist, in letzter Minute zu stoppen. (Widerspruch bei der SPD – Fritz Schösser [SPD]: Wissen Sie, was Notstandsgesetze  sind? – ",0
51,Ganz schwach!,SPD,Adis Ahmetovic,AfD,Rüdiger Lucassen,2022-07-08,184830,"zusammenhängende Strategie entgegensetzen. Die Absicherung einer Wahl kann dann Teil dieser Strategie sein. So aber macht die Bundesregierung einfach nur schlechte Politik, und das unterstützen wir nicht. Danke schön. (Beifall bei der AfD – Boris Mijatović [GRÜNE]: Und Sie machen schlechte Reden! – ",1
52,"Sehr sozial, diese Politik!",FDP,Detlef Parr,CDU/CSU,Georg Faust,2002-11-07,59071,"den des Gesetzes. Durch die Erhöhung der GKV-Rabatte und die Abwälzung der Großhandelsrabatte allein wäre die Situation schon desolat. Aber die teuren Inkassodienste am Ende der Kette werden viele Apotheker ruinieren. Der Weg zur nächsten Apotheke wird für viele Bürger in Zukunft weit, sehr weit.  (",0
53,Die Bahn ist aber gar nicht klimafreundlich!,AfD,Dr. Dirk Spaniel,SPD,Thomas Jurk,2019-09-12,160061," für besonders wichtig, da die Kapazitäten der Schieneninfrastruktur unabhängig von den gewünschten Digitalisierungseffekten deutlich erhöht werden müssen, wenn wir unsere Ziele für 2030 bei den Fahrgastzahlen und natürlich auch beim Klimaschutz erreichen wollen. (Beifall bei Abgeordneten der SPD – ",1
54,Mit Sozialleistungen!,CDU/CSU,Christian Haase,GRÜNE,Felix Banaszak,2023-09-08,195354,"h stellt, werden wir lösen können. Nicht jede Herausforderung, die diese Volkswirtschaft und diese Gesellschaft zu bewältigen hat, kann man mit Geld allein lösen. Deswegen macht diese Ampelkoalition zum Glück nicht nur einen guten Haushalt, sondern mit der Kindergrundsicherung, mit dem Bürgergeld, (",0
55,Der bayerische Mer kantilismus und die SPD waren sich in dieser  Frage immer einig!,SPD,Wolfgang Roth,CDU/CSU,Rudolf Kraus,1991-04-19,731,"erungen im Bereich der Treuhand sehr viel stärker in  den Vordergrund zu rücken. Ich bin mit Ihnen, Herr  Roth, sehr wohl der Meinung, daß es mit Sicherheit  eine ganze Menge von Bet rieben gibt, die bei entsprechender Geduld und bei entsprechendem Einsatz im  Kern natürlich sanierungsfähig sind,  (",0
56,Das sagt doch keiner!,GRÜNE,Ekin Deligöz,CDU/CSU,Johannes Singhammer,2007-05-24,81519,"und etwa 110 000 „Herdmänner“, die ihre Kinder zu Hause erziehen. Nach Angaben der Dresdner Bank sind es mindestens 10 Millionen junge Mütter, die das tun. Diesen Millionen junger Frauen zu unterstellen, sie hätten einen falschen Lebensentwurf gewählt und eine falsche Lebensentscheidung getroffen, (",1
57,"Das hat noch nicht einmal Wieland geschafft, als er Justizsenator in Berlin war!",SPD,Uwe Benneter,GRÜNE,Hans-Christian Ströbele,2008-06-20,88548," von der man inzwischen sagen kann, dass wir durch den Telekom-Skandal etwas Neues gelernt haben, und jetzt ändern wir etwas und tun etwas für die Bürger und die Freiheitsrechte, indem wir das längst überfällige Datenschutzgesetz neu schaffen und den Datenschutz in das Grundgesetz aufnehmen? (Klaus ",0
58,"Mit welchem Ausgang, bitte?",CDU/CSU,Hartmut Schauerte,SPD,Heidemarie Wieczorek-Zeul,2003-04-03,60959,"se Kinder eine Chance haben. Wir wollten diesen Krieg vor allen Dingen deshalb verhindern, um ihnen di eses Leid zu ersparen. Das war für uns das Allerwichtigste.  (Beifall bei der SPD und dem GRÜNE) Wir treten für ein schnelles Ende dieses Krieges ein, damit das Leiden der Menschen ein Ende hat.  (",0
59,Das kommt ja  selten vor!,FDP,Jürgen Koppelin,DIE LINKE,Bernd Henn,1993-10-21,15152," Die Nachtschicht hat gerade vor zwei Stunden begonnen. Insofern können auch wir hier noch diskutieren.  Erfreulich ist, daß noch ein so großer Kreis von  Abgeordneten dieser Debatte folgt. Ich freue mich  ganz besonders, daß meine Gruppe heute Disziplin  zeigt und noch zu fast 40 % anwesend ist.  (",0
60,Gott sei Dank  sind Sie nicht Bundespräsident!,CDU/CSU,Ernst Hinsken,SPD,Jörg Tauss,2005-03-16,71212,"eressante Rede gehalten. Jeder kann sie bewerten, wie er will. Ich hätte mir etwas mehr Optimismus ge-wünscht. An seiner Stelle hätte ich die deutschen Universitäten nicht so pauschal als Mittelmaß im internationalen Vergleich beschimpft. Ich finde es nicht gut, wenn wir immer alles herunterreden. (",1
61,"Jetzt  verschieben Sie aber die Gewichte, Herr  Meyer!",CDU/CSU,Norbert Geis,SPD,Dr. Jürgen Meyer,1992-06-04,6762,"aß die Bundesregierung davor zurückschreckt, entschlossen  gegen die kriminellen Helfershelfer mit den weißen  Kragen vorzugehen. Wer die organisierte Kriminalität  glaubwürdig bekämpfen will, muß das nach unserer  Rechtsüberzeugung ohne Ansehen der Person tun.  (Beifall bei der SPD und dem GRÜNE — ",0
62,"Also,  darum geht es doch hier wirklich nicht!",SPD,Dr. Sigrid Skarpelis-Sperk,FDP,Josef Grünbeck,1991-04-19,723,"rüßen den Abbau  von Subventionen.  Wir begrüßen ebenso, Herr Bundesminister, die Ankündigung, auch die Deregulierung ernst zu nehmen.  Meine Damen und Herren, wer alles reguliert, wer  alles regelt, wer alles dem Staat zuordnet, der wird die  marktwirtschaftlichen Kräfte schwächen und aushöhlen.  (",1
63,Das ist doch  positiv!,CDU/CSU,Eva-Maria Kors,SPD,Hildegard Wester,1991-10-17,3209,"gt nur eine  Pause, eine kurze Unterbrechung einer laufenden Tätigkeit. Aber nur 47 % der Frauen nehmen nach Ablauf des Erziehungsurlaubs ihre Tätigkeit wieder auf.  Die übrigen verzichten nicht nur, weil sie sich in den  ersten Lebensjahren intensiv um die Betreuung ihrer  Kinder kümmern wollen.  (",0
64,Dazu habe  ich allen Grund!,SPD,Gottfried Bernrath,FDP,Jürgen Timm,1994-02-03,17290,"mme bekommen haben. So kann das nicht funktionieren.  (Beifall bei der FDP sowie bei Abgeordneten der CDU/CSU)  Ich bin auch dagegen, Herr Kollege Bernrath, daß  Sie die Mitarbeit der Beamten in unseren Verhandlungsrunden beinahe zum Anlaß für Beschimpfungen  dieser Mitarbeit genommen haben.  (Hans ",0
65,Was?,FDP,Christian Dürr,GRÜNE,Lisa Paus,2018-04-20,148704,"ie Transaktionsteuer, die wir in Deutschland auf den Handel mit Immobilien haben, die Grunderwerbsteuer, radikal aushöhlen will. Das wollen wir nicht, meine Damen und Herren. (Beifall beim GRÜNE) Ihr Antrag führt leider nicht – ich würde es begrüßen, wenn das so wäre – zu vielen neuen Eigentümern, (",0
