,comment_text,comment_party,comment_name,interrupted_speaker_party,interrupted_speaker,date,speech_id,preceding_context
227372,Auf dieser Brücke geht es abwärts!,GRÜNE,Sven-Christian Kindler,CDU/CSU,Hermann Gröhe,2010-11-26,102594,"er [GRÜNE]: Die haben tolle Konzepte! – Zuruf von der CDU/CSU: Die machen mit!) Die sind dagegen. Ein spannender Ideenwettbewerb sieht wahrlich anders aus. (Beifall bei der CDU/CSU und der FDP) Wir stehen zum Beispiel für ein Energiekonzept, das die Brücke ins Zeitalter erneuerbarer Energien baut. ("
305940,Da wäre ich als CSU,GRÜNE,Sylvia Kotting-Uhl,CDU/CSU,Florian Oßner,2016-03-18,137380," Das sagt eine Partei, deren Chef zu Herrn Orban fährt! Das muss man sich einmal vorstellen!) – Herr Krischer, ich habe Sie überhaupt nicht angesprochen, aber es ist erstaunlich, dass sich auch die Grünen sofort angesprochen fühlen, wenn es um das Nichtwahrnehmen von Verantwortung für Europa geht. ("
258965,Aber  Sie doch auch nicht!,DIE LINKE,Matthias W. Birkwald,SPD,Johannes Kahrs,2012-09-14,115498,"ass das SPD-Programm gar nicht so schlecht ist –, (Matthias W. Birkwald [DIE LINKE]: Das ist  doch nicht besser!) dann führt das in der Kombination dazu, dass die Menschen auf der einen Seite Angst vor Inflation und auf der  anderen Seite Angst vor Armut im Alter haben. Sie bieten keine Lösung an. ("
235999,Wir haben sie erarbeitet!,SPD,Ute Kumpf,CDU/CSU,Klaus Riegert,2011-05-12,106057,"Herr Präsident! Meine Damen und Herren! Ich finde es schön, dass sich die SPD der Fleißaufgabe gestellt hat, sich 70 Fragen zum bürgerschaftlichen Engagement auszudenken. ("
179053,Dann haben Sie  das falsche!,FDP,Heinz Lanfermann,SPD,Elke Ferner,2007-06-20,81994,"h auf einige Punkte eingehen. Herr Lanfermann hat etwas zur Generationengerechtigkeit gesagt und auf den Präsidiumsbeschluss der FDP Bezug genommen.  (Heinz Lanfermann [FDP]: Das heißt bei uns  „Parteitagsbeschluss“, Frau Ferner!) – Nein, oben auf meinem Papier steht „Präsidiumsbeschluss der FDP“. ("
118485,500 000!,CDU/CSU,Renate Blank,GRÜNE,Albert Schmidt,2003-01-16,59879,"001 im engeren Sinne kommen. Er weist aus, dass für die Bundesfernstraßen im Jahr 2000 9,9 Milliarden DM aufgewendet wurden, davon 8,2 Milliarden DM investiv. Sie können zwar einwenden, dass dieser Betrag um irgendeine Zahl hinter dem Komma niedriger war als vielleicht ein oder zwei Jahre vorher.  ("
77339,Da muss man aber doch vorher etwas  machen!,SPD,von Larcher,FDP,Ulrich Irmer,2000-02-16,46645,"t wurde. Hier hätte man warnen können und müssen. Hier  hätte man auch drohen können und vielleicht müssen.  Aber dann hätte man zumindest abwarten sollen und  Bundesminister Joseph Fischer müssen, ob dort wirklich etwas geschieht. Bisher ist   eben nichts geschehen.   (Beifall bei der FDP – Detlev "
459015,Das ist ja auch Realität!,GRÜNE,Beate Müller-Gemmeke,FDP,Maximilian Mordhorst,2024-04-12,202244,"llschaft kein Gefühl breitmachen, dass es sich nicht  mehr lohnt, zu arbeiten. (Kay Gottschalk [AfD]: Das ist schon längst  da!) Deswegen wollen wir ja besonders Menschen mit kleinen  Einkommen entlasten. Meine Fraktion ist da klar: Wer  arbeitet, muss mehr haben als derjenige, der nicht arbeitet. ("
230840,Der Rahmen wird ja nicht mehr genutzt!,SPD,Dr. Barbara Hendricks,CDU/CSU,Peter Weiß,2011-02-10,104062,"swert: Kaum sind die Sozialdemokraten ein bisschen länger als ein Jahr in der Opposition, können Sie sich offensichtlich nicht mehr an das erinnern, was Sie mit uns zusammen beschlossen haben. (Beifall bei der CDU/CSU – Paul Lehrieder [CDU/CSU]: Alles vergessen! Was für ein schlechtes Gedächtnis! – "
391033,Und dennoch keine Notlage?,CDU/CSU,<unknown>,FDP,Christine Aschenberg-Dugnus,2021-12-07,179421,"Vielen Dank. – Frau Präsidentin! Liebe Kolleginnen und Kollegen! Ja, die aktuelle Coronasituation ist sehr ernst. Stand heute sind es über 4 900 Patientinnen und Patienten, die intensivmedizinisch behandelt werden müssen. "
237192,Stimmt doch!,CDU/CSU,Dr. Michael Fuchs,SPD,Dr. Frank-Walter Steinmeier,2011-06-09,106593,"das ist ja noch gar nicht lange her – war Ihnen kein Wort zu groß. Auch damals wurde nicht mit Pathos gespart. Sie, Frau Merkel – ich darf das einmal zitieren –, haben von einer „Revolution im Bereich der Energieversorgung“ gesprochen, die bis zum Jahr 2050 trägt. (Volker Kauder [CDU/CSU]: Genau! – "
136903,Das steht aber nicht in Ihrem Antrag! Dann müssen Sie den Antrag noch erweitern!,CDU/CSU,Günter Nooke,SPD,Monika Griefahn,2004-03-12,65711,suchen südafrikanische Kinder aus den Problembereichen deutsche Schulen und erhalten dadurch bessere Bildungsmöglichkeiten.  Insofern vernachlässigen wir die Schulen mitnichten; wir betrachten sie vielmehr als Begegnungsstätten. Das ist ein entscheidender Punkt.  (Beifall bei Abgeordneten der SPD – 
376163,Warum habt ihr dann keinen Vorschlag?,FDP,Manuel Höferlin,SPD,Mahmut Özdemir,2020-10-08,170107,"e Lösung geben würde, dann hätten wir alle, glaube ich, auch leicht einen Konsens gefunden und uns einvernehmlich daran beteiligen können. Wir wollen eine Reform haben, die wirksam, verfassungssicher und verfassungstreu ist und sich harmonisch ins Gefüge unseres Rechts und unserer Gesetze einfügt. ("
41210,Sie  sind schon weiter als die SPD!,CDU/CSU,Dr. Wolfgang Schäuble,GRÜNE,Oswald Metzger,1995-11-10,26461,"rn. Dieses Problem  führt dazu, daß selbst in Zeiten, in denen die Wi rt -schaft floriert, Erträge der Großbetriebe am deutschen Fiskus vorbeifließen. Dieses Problem müssen  wir angehen. Das erkennen auch wir als Grüne.  (Wolfgang Zöller [CDU/CSU]: Dann müssen  Sie unseren Vorschlägen zustimmen! -  "
439070,Das war jetzt aber ein bisschen spitz!,FDP,Gerald Ullrich,CDU/CSU,Daniela Ludwig,2023-09-27,196158,"alsch sein. (Beifall bei der CDU/CSU) Ich habe heute jedenfalls kein vernünftiges Argument gegen unseren Antrag gehört, vielmehr Unterstützung, insbesondere vonseiten der FDP. Vielleicht sollten Sie mal in sich gehen. Wir verlassen auch gern den Saal, wenn Sie das in Ruhe unter sich klären wollen. ("
396043,Da fragen wir mal nach in Nordrhein,GRÜNE,Britta Haßelmann,CDU/CSU,Paul Ziemiak,2022-04-27,182140,"ändlich. Aber Ihr Minister hat gesagt: Wir werden alles in die Waagschale werfen, werden alles dafür tun, dass dieser Bau beschleunigt wird. – Was haben Sie konkret bisher gemacht? Sie haben gerade ausgeführt: eigentlich nichts Neues. – Was konkret wurde in den letzten fünf Monaten anders gemacht? ("
213433,Wie viel haben Sie denn?,GRÜNE,Alexander Bonde,CDU/CSU,Volker Kauder,2010-03-17,97716,"en Herausforderungen (Zuruf von der SPD: Genau!) und nicht ideologische Auseinandersetzungen. Die Antwort dieser Regierungskoalition auf die Frage, wie es weitergeht in unserem Land, damit Perspektiven eröffnet werden, ist ganz klar: Wir müssen dafür sorgen, dass es Wachstum in unserem Land gibt.  ("
75384,Die war stressig!,GRÜNE,Hans-Christian Ströbele,CDU/CSU,Dr. Michael Luther,1999-11-26,45726,"s wiederum keine Verbesserung gibt, müssen wir endlich zur Tat schreiten. Dann müssen wir an dieser Stelle eine Gesetzesänderung erreichen. (Beifall bei der CDU/CSU sowie bei Abgeordneten der FDP) Meine Damen und Herren, lassen Sie mich noch ein paar Bemerkungen zur Ausschußberatung selbst machen. ("
100379,Das war eine gute Rede! Konrad Gilges [SPD]: Ohne Inhalt! Die Rede war nur laut!,FDP,<unknown>,FDP,Dirk Niebel,2001-11-09,55000,"/CSU) Lassen Sie sich an Ihren Taten messen. Treten Sie von Rot und Grün gar nicht erst wieder zur Bundestagswahl an. Hören Sie auf Ihren Kanzler! Vielen Dank. (Beifall bei der FDP und der CDU/CSU  Franz Thönnes [SPD]: Das war aber nur eine 18- Prozent-Rede, Herr Kollege, keine 100-Prozent- Rede! "
435770,Haben da schwerwiegende Krisen dieses Land irgendwie erfasst? Oder war da was?,SPD,Saskia Esken,CDU/CSU,Alexander Dobrindt,2023-09-06,195087,"ro. (Otto Fricke [FDP]: Alles von euch beschlossen! Alles von der CDU beschlossen!) Das ist der Unterschied: 5 Milliarden Euro zu 95 Milliarden Euro. Fast 20 Prozent Ihres Haushalts werden aus Sondervermögen bestritten, und das ist was anderes als solide Haushaltsführung. (Beifall bei der CDU/CSU – "
332908,Meine Güte!,GRÜNE,Ulle Schauws,CDU/CSU,Melanie Bernstein,2018-06-28,150588,"uws [GRÜNE]: Da haben Sie wahrscheinlich nicht mit den Richtigen gesprochen!) Ihr Lösungsvorschlag richtet sich nicht an selbstbestimmte, verantwortliche Menschen, sondern versucht, mit Geld und einer sehr einseitigen Sicht auf die Dinge einer Problematik Herr zu werden, die so viel komplexer ist. ("
117524,"Einer reicht ja! Es wäre nicht schlecht, wenn einer dabei wäre, oder? Entschuldigung!",CDU/CSU,Hubert Hüppe,SPD,Ulla Schmidt,2002-12-18,59594,"Herr Kollege Hüppe, ich möchte die Empfehlung des Nationalen Ethikrates in dieser Frage nicht vorwegnehmen. Es wäre aber zu kurz gefasst, würde man so tun, als habe die Präimplantationsdiagnostik nur etwas mit behinderten Menschen zu tun. ("
118199,Stellen Sie Ihre Anträge!,CDU/CSU,Daniela Raab,GRÜNE,Hans-Christian Ströbele,2002-12-20,59781,"schen Bundestag als Letztes noch über einen Gesetzentwurf diskutieren, der sich mit Graffiti beschäftigt. Die Bundesrepublik Deutschland hat wichtigere Probleme und sollte sich diesen zuwenden. (Beifall beim GRÜNE und bei der SPD – Volker Kauder [CDU/CSU]: Ist Ihr Haus schon mal besprüht worden? –  "
129578,Sie haben nicht zugehört!,CDU/CSU,Andreas Storm,SPD,Helga Kühn-Mengel,2003-11-06,63471,Sehr geehrte Kolleginnen und Kollegen! Kollege Seehofer hat in der Tat kein Reizwort ausgelassen. Er hat alle Zielgruppen populistisch bedient. Aber eine Antwort ist er schuldig geblieben.  (Beifall bei der SPD und dem GRÜNE – Michael Glos [CDU/CSU]: Helga Kühn-MengelNehmen Sie das sofort zurück! – 
436834,Da schläft er bei ein!,CDU/CSU,Nina Warken,FDP,Otto Fricke,2023-09-08,195348,"habe mit dem Bundeskanzler mal drüber gesprochen, aber ich weiß ja gar nicht, worauf sich der Deutschlandpakt bezieht. Erstens kann er es nachlesen. Zweitens kann er sich ja auch, wenn er nicht so gerne liest, die Rede des Bundeskanzlers noch mal anhören, um herauszufinden, worauf es sich bezieht. ("
371582,Früher hat die FDP mal etwas von Wirtschaftspolitik verstanden! Das ist schon länger vorbei!,CDU/CSU,Alexander Dobrindt,FDP,Christian Dürr,2020-06-19,167853,"auland [AfD] – Alexander Dobrindt [CDU/CSU]: Das ist aber total dünne Suppe! – Dr. h. c. [Univ Kyiv] Hans Michelbach [CDU/CSU]: Jämmerlich!) Das „Politbarometer“ hat herausgefunden, dass 85 Prozent der Menschen in Deutschland nicht daran glauben, dass diese Mehrwertsteuersenkung bei ihnen ankommt. ("
434501,Unmöglich!,GRÜNE,Marcel Emmerich,AfD,Dr. Bernd Baumann,2023-07-06,194808,"r Migrant uns in Deutschland mehr hilft als alle feigen Regierungsparteien der vergangenen Jahrzehnte zusammen. (Beifall bei der AfD – Lamya Kaddor [GRÜNE]: Und Sie schaden unserem Land! – Dunja Kreiser [SPD]: Grausam! Da könnt ihr euch auf die Schultern klopfen, wie ihr wollt! Keine schöne Rede! – "
11783,"Ja, aber  warum ändern wir das nicht gemeinsam?",SPD,Ingrid Matthäus-Maier,CDU/CSU,Dr. Wolfgang Schäuble,1992-06-17,6863,"ürden, dann werden Sie vielleicht erkennen, daß es bei der Frage im Grunde nur darum geht,  daß die Länder den Kommunen bei den Bürgerkriegsflüchtlingen außerhalb des Asylverfahrens eine gleiche Kostenregelung ermöglichen wie bei Asylverfahren. Das ist nämlich der Punkt, weswegen die Kommunen — —  ("
161285,Unglaublich!,FDP,Dirk Niebel,CDU/CSU,Joachim Hörster,2006-02-10,73829,"d, der Innenminister zurückgetreten ist, weil er das nicht gewollt hat. Es stimmt mich sehr nachdenklich, dass andererseits der stellvertretende ägyptische Außenminister sagte: Die Karikaturen reihen sich in die antiislamischen Kampagnen ein, die seit dem 11. September 2001 den Westen beherrschen. ("
150028,Mit wenig Erfolg!,CDU/CSU,Hans Michelbach,SPD,Wolfgang Clement,2005-01-20,70033,"werden uns auch auf dem Gebiet Bürokratieabbau – es ist in Wahrheit das komplizierteste Gebiet – vorankämpfen. Ich werde dort nicht locker lassen. Ich bin inzwischen schon so alt, dass ich dabei gar nicht mehr müde werden kann. Auch in Nordrhein-Westfalen habe ich dieses Feld zu beackern versucht. ("
243202,So ist  es!,CDU/CSU,Johannes Singhammer,CDU/CSU,Willi Zylajew,2011-10-21,109113,"t Ihrem Antrag präsentieren Sie letztlich nichts anderes – ich behaupte, er ist noch nicht einmal durchgerechnet – als mehr Leistungsversprechen, höhere Leistungsvergütungen und höhere Kosten, und zwar ohne jede kritische Betrachtung. Das ist unverantwortlich und hat nichts mit Solidarität zu tun. ("
105369,Haben alle Institute im Herbst 2000 gesagt!,SPD,Joachim Poß,FDP,Rainer Brüderle,2002-02-21,56278,einend den Kopf mit dem Kehlkopf verwechselt. (Heiterkeit und Beifall bei der FDP und der CDU/CSU – Wilhelm Schmidt [Salzgitter] [SPD]: Das ist auch schon 30 Jahre alt!) Ich zitiere: Für 2001 erwarten wir weiterhin ein starkes ... Wirtschaftswachstum. Die Dynamik wird sich zwar leicht abschwächen; (
102749,"Hört, Hört!",SPD,Joachim Poß,CDU/CSU,Leo Dautzenberg,2001-11-30,55461,"d Gestaltungssicherheit – zunächst bis zum Jahre 2019 – erreicht; sie ermöglicht auch eine größere Unabhängigkeit der Kommunen. Schließlich wird es dem Bundesfinanzminister nicht mehr möglich sein, die Uneinigkeit der Länder für sachfremde Zwecke auszunutzen. (Beifall bei Abgeordneten der CDU/CSU – "
354515,Ist doch gut!,CDU/CSU,Dr. Andreas Nick,FDP,Nicole Westig,2019-09-13,160134,"ch zu bringen, um einen gemeinsamen Fahrplan zu entwickeln. Mit Blick auf das magere und wenig konkrete Ergebnis kann man aber nur sagen: Leider eine große Chance vertan! (Heike Baehrens [SPD]: Dann haben Sie ihn aber nicht gelesen!) Dort ist vieles unkonkret; vieles wurde sowieso schon umgesetzt. ("
168965,Aber Ihr Unfug ist Hightech?,SPD,Jörg Tauss,FDP,Ulrike Flach,2006-09-21,76872,"stern Abend ging über den Ticker, dass Herr Seehofer das Gesetz, das in diesem Zusammenhang beschlossen werden soll, erneut verschieben will. Wo ist denn da eine Hightechstrategie?  (Beifall bei der FDP)Seit der letzten Wahl warten wir bis zum heutigen Tage darauf, dass Sie das Geplante umsetzen.  ("
162390,Sehr richtig! Sie stimmen also unserem Antrag auch zu! Es werden ja immer mehr!,FDP,Hans-Michael Goldmann,SPD,Elvira Drobinski-Weiß,2006-03-09,74291," Preis oder der besseren Werbung, sondern nach der Qualität treffen.  (Beifall bei der SPD und der CDU/CSU – Hans- Michael Goldmann [FDP]: Sehr richtig!) Unser Leitbild ist der mündige Verbraucher, der eigenverantwortlich und bewusst am Marktgeschehen teilnimmt und dadurch den Markt mitgestaltet.  ("
195638,Das ist doch kein  Ausstieg! Das ist eine Bestandsgarantie!,DIE LINKE,Lutz Heilmann,SPD,Heinz Schmitt,2008-11-12,90047," auch Menschen von außerhalb gekommen sind, um mitzuhelfen, dass dieses Milliardengrab nicht entsteht.  Lassen wir uns nicht täuschen: Wer den Atomkonsens von 2001 aufkündigt, der spielt mit dem Feuer. Der Kompromiss für den geordneten Ausstieg aus der Atomkraft hat unsere Gesellschaft befriedet.  ("
219116,Das ist doch Quatsch!,GRÜNE,Katja Dörner,CDU/CSU,Marco Wanderwitz,2010-06-17,99726,"indestens genauso gut zu können, wie dies bei Einrichtungen der Fall ist. Nichts anderes meinten Sie. (Caren Marks [SPD]: Eltern, die ihre Kinder in der Kindertagesstätte betreuen lassen, erziehen ihre Kinder auch!) Ich sage Ihnen ganz offen, dass ich das für eine unglaubliche Unterstellung halte. ("
18570,Sehr gut!,CDU/CSU,<unknown>,CDU/CSU,Richard Bayha,1993-02-11,11108,"ruf von der SPD: Sagen Sie das dem Kohl  auch mal!)  An diesen Feststellungen ändert sich auch nichts  dadurch, daß hier ständig herumlamentiert wird,  polemisiert wird und kritisiert wird. Ich rate allen, die  nur diese drei Begriffe kennen: Krempeln Sie doch  mal die Ärmel hoch, und tun Sie was!  "
304037,"Haben Sie was zu Hause, Herr Lenkert?",CDU/CSU,Dr. Thomas Feist,DIE LINKE,Ralph Lenkert,2016-02-18,136674," das fehlende Bargeld höchstens temporär. Ich meine, Bargeld ist Schutz vor lückenloser Überwachung und eine Absicherung bei Stromausfall. Der Bericht 141/2010 des Büros für Technikfolgen-Abschätzung beim Deutschen Bundestag empfiehlt übrigens, Bargeldreserven für Katastrophenfälle bereitzuhalten. ("
284429,Machen wir ja auch nicht!,CDU/CSU,Volker Kauder,GRÜNE,Katrin Göring-Eckardt,2014-09-10,127205," will ich hier vor allem auf die Situation der Flüchtlinge eingehen. Seit Monaten habe ich keine Nachrichtensendung mehr gesehen, in der nicht die außenpolitischen Krisen an erster Stelle standen. Die Welt ist im Wandel, und wir sind mittendrin. Wir können die Augen nicht mehr davor verschließen.  ("
385316,Sie regeln heute gar nichts!,GRÜNE,Britta Haßelmann,CDU/CSU,Dr. Patrick Sensburg,2021-03-26,175574," – wir haben die Vorschläge gerade auf den Tisch gelegt, Kollege Schnieder hat es gemacht –, (Britta Haßelmann [GRÜNE]: Sie regeln heute gar nichts!) die Verhaltensregeln, die Nebeneinkünfte und, und, und; ich will nicht alles wiederholen, was Kollege Schnieder und Kollege Dr. Bartke gesagt haben. ("
248875,"Ja, das ist sie ja nun  nicht!",CDU/CSU,<unknown>,SPD,Manfred Zöllmer,2012-01-25,111341," on.de vom 12. November 2010. Dort hatte Frau Büssemaker erklärt, dass Sie nicht zur nächsten OB-Wahl antreten wird. Wörtlich sagte sie – ich zitierte –: Ich bin aus der Wirtschaft in dieses Amt gekommen – also Oberbürgermeisterin von Ettlingen –und möchte nun wieder zurück in die freie Wirtschaft. "
447076,"Doch, wir wollen!",AfD,<unknown>,GRÜNE,Filiz Polat,2023-11-30,198757," weil sie nicht in ihr Herkunftsland abgeschoben werden können. Zum Beispiel sind nach wie vor unter den Ausreisepflichtigen viele Afghaninnen und Afghanen. Diese können wir und wollen wir auch nicht abschieben, meine Damen und Herren. (Beifall beim GRÜNE sowie bei Abgeordneten der SPD und der FDP –"
388643,Volksentscheid!,AfD,<unknown>,DIE LINKE,Simone Barrientos,2021-06-09,178041,"n Gesellschaftsordnungen bekommt man so. Der Mann hat recht; denn Demokratie heißt eben nicht, dass sie da ist und fertig. Sie muss gehegt und gepflegt werden. Sie muss immer wieder auf den Prüfstand; denn die Gesellschaft verändert sich. Und dann fragt man sich: Demokratie, was ist das eigentlich? "
32449,Wieso?,FDP,<unknown>,CDU/CSU,Dr. Theodor Waigel,1994-06-30,20593,"adikale Minderheiten in die Lage  kommen könnten, zu unverhältnismäßigen Ergebnissen zu kommen.  (Beifall bei der CDU/CSU und der FDP —  Detlev von Larcher [SPD]: Das war aber  nicht gut!)  Die Erfahrungen der Weimarer Republik mit plebiszitären Verfassungselementen waren nicht erfolgversprechend.  "
88828,Sondern? Was wollen Sie denn machen?,SPD,Gernot Erler,FDP,Dr. Helmut Haussmann,2001-01-19,51025,"nd wird sich kein Jota ändern.  Gerade weil wir so aktiv für die Osterweiterung der Europäischen Union eintreten, ist das Ergebnis von  Nizza für uns so enttäuschend. Richtig ist: Wer für die Erweiterung ist, kann dem Vertragsentwurf von Nizza in der bisher bekannten Form nicht einfach zustimmen.  ("
59689,Vor wem!,FDP,Gisela Frick,CDU/CSU,Peter Rauen,1998-04-01,38944,"age, Roß und Reiter zu nennen, hier klare Zahlen zu präsentieren und  zu sagen, wie Sie Ihre Reform finanzieren wollen.  Das tun Sie aber nicht, weil Sie im Nebel stochern  wollen.  Offenbar richten sich die Steuersätze bei Ihnen danach, wer gerade wo redet.  (Beifall bei der CDU/CSU und der FDP -  "
276378,Oder kann im Gegensatz zu Ihnen lesen!,GRÜNE,Omid Nouripour,CDU/CSU,Markus Grübel,2013-09-02,123395,". Bundesminister de Maizière hat von Anfang an die Wahrheit gesagt. Es gibt keinen einzigen Beweis, der das Gegenteil  belegt. (Omid Nouripour [GRÜNE]: Lesen bildet!) Wer hier etwas anderes sagt, der ist entweder ahnungslos  oder bösartig – im Zweifel beides. (Beifall bei der CDU/CSU und der FDP –  "
